Date,Open,High,Low,Close,Adj Close,Volume
7/9/2014,103.5,104.220001,103.360001,103.790001,102.491402,585300
7/10/2014,103.07,103.830002,102,103.669998,102.372902,1080200
7/11/2014,103.559998,103.870003,102.949997,103.790001,102.491402,694700
7/14/2014,104.279999,104.93,103.150002,103.260002,101.968033,733900
7/15/2014,103.160004,103.620003,101.970001,102.739998,101.454536,1088200
7/16/2014,103.199997,103.360001,102.389999,102.790001,101.503929,869100
7/17/2014,102.459999,102.900002,100.629997,100.709999,99.449944,804900
7/18/2014,100.769997,102.769997,99.980003,102.440002,101.158302,1131800
7/21/2014,101.980003,102.410004,101.019997,101.419998,100.151054,1008900
7/22/2014,103.809998,104.459999,101.339996,102.169998,100.89167,947900
7/23/2014,102.269997,103.68,101.910004,103.160004,101.869278,1733800
7/24/2014,99.279999,100.419998,98.400002,99.82,98.571068,2814600
7/25/2014,99.519997,101.040001,99.290001,100.809998,99.548691,1474900
7/28/2014,101.970001,102.029999,100.010002,100.57,99.311699,854300
7/29/2014,100.650002,101.309998,100.010002,100.93,99.667191,1186900
7/30/2014,101.300003,102.730003,101.279999,102.220001,100.941048,1821100
7/31/2014,101.370003,102.370003,100,100.07,98.817947,1809700
8/1/2014,100.080002,100.349998,99.019997,99.610001,98.363708,1020400
8/4/2014,99.610001,100.220001,98.459999,100.139999,98.887077,799100
8/5/2014,99.68,99.919998,98.129997,98.360001,97.129349,1125700
8/6/2014,98.099998,98.410004,95.959999,96.349998,95.144493,2995200
8/7/2014,97.019997,97.18,95.019997,95.309998,94.1175,1750700
8/8/2014,95.669998,96.18,94.730003,96.080002,94.877876,1368900
8/11/2014,96.57,96.959999,95.879997,96.32,95.114853,873900
8/12/2014,96.150002,97.110001,95.800003,96.709999,95.499977,1556300
8/13/2014,96.93,97.82,96.559998,97.68,96.457848,1034000
8/14/2014,97.68,98.139999,97.400002,97.830002,96.60598,1428400
8/15/2014,97.959999,98.150002,96.620003,97.480003,96.260345,1171400
8/18/2014,97.879997,99.32,97.879997,99.309998,98.067451,1591900
8/19/2014,99.610001,100.199997,99.410004,99.940002,98.689568,944000
8/20/2014,99.82,100.300003,99.349998,99.809998,98.561195,1156900
8/21/2014,99.980003,100.68,99.879997,100.620003,99.361069,630700
8/22/2014,100.440002,100.790001,99.449997,99.489998,98.245201,1014300
8/25/2014,100.239998,101.040001,99.980003,100.459999,99.203079,669800
